raceId,year,round,circuitId,driverId,constructorId,position,points
2023_1,2023,1,bahrain,VER,red_bull,1,25
2023_1,2023,1,bahrain,PER,red_bull,2,18
2023_1,2023,1,bahrain,ALO,aston_martin,3,15
2023_1,2023,1,bahrain,SAI,ferrari,4,12
2023_1,2023,1,bahrain,HAM,mercedes,5,10
2023_1,2023,1,bahrain,STR,aston_martin,6,8
2023_1,2023,1,bahrain,RUS,mercedes,7,6
2023_1,2023,1,bahrain,BOT,alfa,8,4
2023_1,2023,1,bahrain,GAS,alpine,9,2
2023_1,2023,1,bahrain,ALB,williams,10,1
2023_1,2023,1,bahrain,TSU,alphatauri,11,0
2023_1,2023,1,bahrain,SAR,williams,12,0
2023_1,2023,1,bahrain,MAG,haas,13,0
2023_1,2023,1,bahrain,DEV,alphatauri,14,0
2023_1,2023,1,bahrain,HUL,haas,15,0
2023_1,2023,1,bahrain,ZHO,alfa,16,0
2023_1,2023,1,bahrain,NOR,mclaren,17,0
2023_1,2023,1,bahrain,OCO,alpine,18,0
2023_1,2023,1,bahrain,LEC,ferrari,19,0
2023_1,2023,1,bahrain,PIA,mclaren,20,0
2023_2,2023,2,jeddah,PER,red_bull,1,25
2023_2,2023,2,jeddah,VER,red_bull,2,19
2023_2,2023,2,jeddah,ALO,aston_martin,3,15
2023_2,2023,2,jeddah,RUS,mercedes,4,12
2023_2,2023,2,jeddah,HAM,mercedes,5,10
2023_2,2023,2,jeddah,SAI,ferrari,6,8
2023_2,2023,2,jeddah,LEC,ferrari,7,6
2023_2,2023,2,jeddah,OCO,alpine,8,4
2023_2,2023,2,jeddah,GAS,alpine,9,2
2023_2,2023,2,jeddah,MAG,haas,10,1
2023_2,2023,2,jeddah,TSU,alphatauri,11,0
2023_2,2023,2,jeddah,HUL,haas,12,0
2023_2,2023,2,jeddah,ZHO,alfa,13,0
2023_2,2023,2,jeddah,DEV,alphatauri,14,0
2023_2,2023,2,jeddah,PIA,mclaren,15,0
2023_2,2023,2,jeddah,SAR,williams,16,0
2023_2,2023,2,jeddah,NOR,mclaren,17,0
2023_2,2023,2,jeddah,BOT,alfa,18,0
2023_2,2023,2,jeddah,ALB,williams,19,0
2023_2,2023,2,jeddah,STR,aston_martin,20,0
2023_3,2023,3,albert_park,VER,red_bull,1,25
2023_3,2023,3,albert_park,HAM,mercedes,2,18
2023_3,2023,3,albert_park,ALO,aston_martin,3,15
2023_3,2023,3,albert_park,STR,aston_martin,4,12
2023_3,2023,3,albert_park,PER,red_bull,5,11
2023_3,2023,3,albert_park,NOR,mclaren,6,8
2023_3,2023,3,albert_park,HUL,haas,7,6
