,duration,stop,driverId,raceId
0,44.170,1,817,2011
1,29.549,1,3,2011
2,30.621,1,4,2011
3,29.610,1,30,2011
4,35.398,1,811,2011
5,30.290,1,13,2011
6,30.142,1,1,2011
7,30.718,1,16,2011
8,30.888,1,813,2011
9,32.827,1,67,2011
10,32.202,1,5,2011
11,36.856,2,811,2011
12,30.462,1,17,2011
13,30.456,1,22,2011
14,32.351,2,13,2011
15,33.456,2,1,2011
16,34.329,1,24,2011
17,30.023,1,20,2011
18,30.169,1,18,2011
19,30.810,1,815,2011
20,24.342,3,1,2011
21,30.464,1,155,2011
22,31.048,1,15,2011
23,30.807,1,808,2011
24,34.782,2,817,2011
25,31.763,1,816,2011
26,30.948,1,153,2011
27,30.704,1,814,2011
28,33.317,2,15,2011
29,29.417,2,3,2011
30,29.473,2,30,2011
31,30.478,3,13,2011
32,24.299,2,153,2011
33,30.387,2,4,2011
34,30.187,2,813,2011
35,31.621,2,5,2011
36,32.122,2,24,2011
37,31.204,2,17,2011
38,31.592,2,816,2011
39,29.764,2,814,2011
40,33.418,2,16,2011
41,30.261,3,3,2011
42,33.344,2,815,2011
43,33.058,3,817,2011
44,30.832,3,811,2011
45,30.706,4,1,2011
46,30.809,2,20,2011
47,31.602,2,155,2011
48,29.921,2,18,2011
49,30.625,2,808,2011
50,30.544,2,22,2011
51,31.394,2,67,2011
52,31.836,3,153,2011
53,24.715,3,155,2011
54,30.983,4,13,2011
55,30.477,3,813,2011
56,31.168,3,15,2011
57,30.413,3,17,2011
58,31.687,3,24,2011
59,30.305,3,18,2011
60,29.876,5,1,2011
61,31.207,3,5,2011
62,30.796,3,20,2011
63,30.485,3,808,2011
64,29.972,3,4,2011
65,32.739,3,67,2011
66,42.920,4,24,2011
67,30.987,4,811,2011
68,30.869,4,155,2011
69,32.015,2,10,2012
70,30.099,2,5,2012
71,29.304,2,17,2012
72,30.540,2,813,2012
73,29.190,2,4,2012
74,30.842,2,155,2012
75,30.405,3,808,2012
76,32.625,2,37,2012
77,29.789,2,817,2012
78,29.370,2,8,2012
79,31.137,2,20,2012
80,29.662,2,18,2012
81,30.834,2,819,2012
82,30.029,2,814,2012
83,29.687,2,3,2012
84,31.753,2,154,2012
85,30.981,3,813,2012
86,30.338,2,30,2012
87,30.684,3,811,2012
88,29.455,3,13,2012
89,29.348,3,17,2012
90,30.613,2,807,2012
91,30.217,2,815,2012
92,41.154,4,808,2012
93,44.101,3,37,2012
94,30.232,3,5,2012
95,36.146,3,155,2012
96,34.601,3,807,2012
97,36.148,1,808,2012
98,31.958,1,13,2012
99,29.333,1,17,2012
100,29.117,1,20,2012
101,30.317,1,811,2012
102,29.557,1,4,2012
103,30.879,1,30,2012
104,30.992,1,817,2012
105,29.124,1,1,2012
106,31.026,1,814,2012
107,29.546,1,3,2012
108,30.499,1,818,2012
109,30.440,1,5,2012
110,30.234,1,813,2012
111,29.669,1,8,2012
112,30.977,1,10,2012
113,30.019,1,18,2012
114,32.080,1,154,2012
115,30.693,1,155,2012
116,30.647,1,819,2012
117,30.363,1,807,2012
118,30.043,1,815,2012
119,33.042,1,37,2012
120,30.341,2,808,2012
121,29.403,2,13,2012
122,32.436,1,39,2012
123,29.898,2,818,2012
124,30.828,2,811,2012
125,29.176,2,4,2013
126,30.293,2,154,2013
127,29.136,2,13,2013
128,30.085,2,18,2013
129,33.013,2,8,2013
130,29.396,2,815,2013
131,30.253,2,807,2013
132,31.706,2,821,2013
133,30.166,2,16,2013
134,30.444,2,813,2013
135,32.008,2,819,2013
136,37.700,2,823,2013
137,73.009,3,154,2013
138,29.999,3,818,2013
139,28.909,2,17,2013
140,31.230,3,16,2013
141,29.421,4,824,2013
142,29.616,2,3,2013
143,30.175,3,813,2013
144,29.687,3,820,2013
145,29.777,2,814,2013
146,29.573,3,13,2013
147,33.836,3,822,2013
148,30.141,3,823,2013
149,30.085,2,1,2013
150,28.934,2,20,2013
151,31.546,3,819,2013
152,29.469,1,8,2013
153,29.573,1,824,2013
154,29.364,1,821,2013
155,29.736,1,818,2013
156,31.841,1,819,2013
157,30.497,1,820,2013
158,32.243,2,824,2013
159,29.040,1,13,2013
160,29.678,1,16,2013
161,29.031,1,17,2013
162,29.284,1,18,2013
163,29.910,1,807,2013
164,30.161,1,823,2013
165,31.792,1,822,2013
166,29.436,1,4,2013
167,28.709,1,815,2013
168,29.212,1,3,2013
169,29.702,1,154,2013
170,29.032,1,1,2013
171,32.097,1,817,2013
172,29.966,1,813,2013
173,28.787,1,20,2013
174,29.667,1,814,2013
175,29.823,3,824,2013
176,30.714,2,818,2013
177,30.790,2,822,2013
178,31.173,2,820,2013
179,35.309,2,818,2014
180,29.748,2,16,2014
181,28.733,2,20,2014
182,29.164,2,8,2014
183,29.362,2,807,2014
184,31.040,2,1,2014
185,28.841,2,825,2014
186,29.113,2,817,2014
187,29.502,2,815,2014
188,29.761,3,154,2014
189,29.363,3,813,2014
190,35.289,3,815,2014
191,29.885,2,824,2014
192,28.991,3,4,2014
193,30.364,2,828,2014
194,28.627,2,18,2014
195,30.194,3,8,2014
196,30.415,3,807,2014
197,30.672,3,16,2014
198,29.655,4,813,2014
199,29.877,3,820,2014
200,31.092,3,826,2014
201,30.111,3,818,2014
202,29.339,4,815,2014
203,29.752,3,824,2014
204,28.706,3,825,2014
205,29.284,3,1,2014
206,29.887,1,16,2014
207,29.987,1,807,2014
208,29.578,1,13,2014
209,30.089,1,826,2014
210,29.322,1,154,2014
211,29.702,1,8,2014
212,30.340,1,822,2014
213,29.806,1,818,2014
214,29.960,1,813,2014
215,30.147,1,20,2014
216,28.912,1,4,2014
217,29.761,1,817,2014
218,30.144,1,828,2014
219,29.422,1,1,2014
220,28.684,1,825,2014
221,28.641,1,18,2014
222,29.979,1,815,2014
223,33.679,1,821,2014
224,30.413,1,824,2014
225,30.751,1,820,2014
226,37.975,2,820,2014
227,29.006,2,13,2014
228,29.040,2,154,2014
229,28.880,2,822,2014
230,30.188,2,826,2014
231,29.036,2,813,2014
232,28.810,2,4,2014
233,30.640,1,154,2015
234,34.237,1,4,2015
235,34.970,1,832,2015
236,29.589,1,828,2015
237,29.762,1,813,2015
238,30.868,1,807,2015
239,29.159,1,826,2015
240,31.380,1,13,2015
241,29.172,1,20,2015
242,31.307,1,817,2015
243,30.031,1,8,2015
244,28.917,1,1,2015
245,30.562,1,3,2015
246,29.260,1,822,2015
247,29.732,1,815,2015
248,29.679,1,831,2015
249,65.317,1,18,2015
250,31.207,1,830,2015
251,31.180,1,834,2015
252,29.907,2,13,2015
253,30.398,1,829,2015
254,29.826,2,154,2015
255,29.223,2,813,2015
256,29.857,2,828,2015
257,29.742,2,832,2015
258,24.415,3,13,2015
259,32.924,2,826,2015
260,29.676,2,815,2015
261,29.917,2,831,2015
262,30.844,2,830,2015
263,29.398,3,828,2015
264,29.273,2,20,2015
265,29.419,2,817,2015
266,32.036,2,834,2015
267,30.689,2,8,2015
268,29.887,2,3,2015
269,29.239,2,822,2015
270,30.106,2,18,2015
271,29.885,3,832,2015
272,37.847,2,829,2015
273,37.822,3,18,2015
274,29.996,3,813,2015
275,26.350,1,3,2016
276,25.925,1,817,2016
277,24.453,1,1,2016
278,24.874,1,8,2016
279,24.649,1,4,2016
280,24.584,1,826,2016
281,25.973,1,832,2016
282,25.740,1,830,2016
283,25.929,1,13,2016
284,25.816,1,825,2016
285,26.135,1,828,2016
286,32.821,1,815,2016
287,26.519,1,821,2016
288,42.815,1,18,2016
289,32.709,1,822,2016
290,24.308,1,836,2016
291,24.343,1,839,2016
292,25.057,1,831,2016
293,25.211,1,835,2016
294,24.342,1,20,2016
295,29.846,2,832,2016
296,29.706,2,828,2016
297,28.847,2,835,2016
298,28.815,2,830,2016
299,29.401,2,4,2016
300,28.890,2,817,2016
301,29.150,2,1,2016
302,30.301,2,826,2016
303,28.780,2,822,2016
304,28.998,2,18,2016
305,30.546,2,3,2016
306,28.682,2,13,2016
307,29.041,2,8,2016
308,28.759,2,825,2016
309,30.297,2,831,2016
310,30.307,2,821,2016
311,30.532,2,836,2016
312,104.383,2,839,2016
313,28.924,2,20,2016
314,28.742,2,815,2016
315,29.468,3,828,2016
316,28.948,3,830,2016
317,29.320,3,832,2016
318,29.025,3,18,2016
319,29.578,3,13,2016
320,28.545,3,822,2016
321,28.921,3,817,2016
322,28.970,3,3,2016
323,63.680,4,822,2016
324,29.135,3,8,2016
325,28.421,3,1,2016
326,30.381,3,4,2016
327,28.804,3,835,2016
328,29.537,3,831,2016
329,30.614,3,839,2016
330,30.160,3,821,2016
331,30.471,3,836,2016
332,29.680,4,828,2016
333,29.205,3,826,2016
334,29.754,3,825,2016
335,29.391,3,20,2016
336,29.903,4,13,2016
337,28.854,4,830,2016
338,28.315,4,1,2016
339,28.954,4,8,2016
340,28.662,4,817,2016
341,42.368,4,839,2016
342,29.377,4,832,2016
343,30.442,1,1,2017
344,30.737,1,817,2017
345,31.032,1,807,2017
346,30.709,1,815,2017
347,30.444,1,822,2017
348,30.785,1,835,2017
349,31.550,1,838,2017
350,31.793,1,839,2017
351,32.689,1,832,2017
352,32.701,1,825,2017
353,33.077,1,826,2017
354,36.900,1,4,2017
355,37.403,1,840,2017
356,38.464,1,13,2017
357,39.455,1,154,2017
358,40.125,1,828,2017
359,40.506,1,836,2017
360,24.368,2,1,2017
361,24.402,2,817,2017
362,25.093,2,807,2017
363,25.315,2,815,2017
364,25.367,2,822,2017
365,26.206,2,835,2017
366,26.553,2,838,2017
367,26.532,2,839,2017
368,27.452,2,832,2017
369,26.903,2,825,2017
370,27.015,2,826,2017
371,29.306,2,4,2017
372,29.294,2,840,2017
373,30.790,2,13,2017
374,31.320,2,154,2017
375,38.886,2,828,2017
376,45.875,2,836,2017
377,24.337,3,1,2017
378,24.362,3,817,2017
379,24.964,3,807,2017
380,25.288,3,815,2017
381,25.432,3,822,2017
382,25.113,3,835,2017
383,24.543,3,838,2017
384,24.664,3,839,2017
385,25.356,3,832,2017
386,25.509,3,825,2017
387,25.003,3,826,2017
388,25.626,3,4,2017
389,25.584,3,840,2017
390,25.731,3,13,2017
391,26.228,3,154,2017
392,27.591,3,828,2017
393,27.865,3,836,2017
394,29.658,4,817,2017
395,30.128,4,815,2017
396,31.336,4,839,2017
397,30.132,4,825,2017
398,30.725,4,807,2017
399,30.015,4,835,2017
400,30.390,4,838,2017
401,31.714,4,828,2017
402,29.685,4,13,2017
403,32.249,4,836,2017
404,30.504,5,825,2017
405,30.048,5,13,2017
406,29.412,4,840,2017
407,30.093,4,832,2017
408,36.138,5,838,2017
409,29.049,4,154,2017
410,29.173,5,839,2017
411,50.617,5,828,2017
412,29.118,5,817,2017
413,29.089,4,822,2017
414,30.005,5,807,2017
415,29.186,5,815,2017
416,28.466,4,1,2017
417,31.094,5,836,2017
418,30.038,5,835,2017
419,30.067,6,828,2017
420,29.671,6,13,2017
421,68.357,6,807,2017
422,29.134,6,839,2017
423,29.379,6,825,2017
424,32.183,6,836,2017
425,30.477,1,845,2018
426,28.722,1,20,2018
427,29.912,1,843,2018
428,28.946,1,1,2018
429,31.183,1,807,2018
430,28.542,1,822,2018
431,29.517,1,154,2018
432,29.681,1,830,2018
433,29.978,1,815,2018
434,29.513,1,8,2018
435,28.931,1,842,2018
436,29.408,1,825,2018
437,28.779,1,817,2018
438,30.561,2,815,2018
439,29.464,2,843,2018
440,30.711,2,825,2018
441,30.242,1,832,2018
442,29.922,1,4,2018
443,29.310,1,844,2018
444,24.340,3,815,2018
445,28.767,1,840,2018
446,30.234,1,838,2018
447,28.860,1,828,2018
448,34.022,2,845,2018
449,29.324,3,825,2018
450,29.563,1,807,2019
451,38.752,1,847,2019
452,28.799,1,826,2019
453,29.082,1,815,2019
454,29.992,1,8,2019
455,29.403,1,825,2019
456,29.384,1,20,2019
457,28.846,1,830,2019
458,29.168,1,844,2019
459,28.606,1,848,2019
460,30.397,1,846,2019
461,29.033,1,9,2019
462,29.234,1,822,2019
463,29.456,1,154,2019
464,28.930,1,1,2019
465,29.482,1,840,2019
466,32.482,1,842,2019
467,29.070,1,841,2019
468,30.756,1,817,2019
469,43.576,2,154,2019
470,29.152,2,807,2019
471,34.711,2,826,2019
472,30.623,2,832,2019
473,28.960,2,841,2019
474,39.188,2,840,2019
475,30.321,2,9,2019
476,29.460,3,840,2019
477,30.916,2,825,2019
478,39.247,1,825,2022
479,30.378,1,847,2022
480,29.867,1,842,2022
481,31.293,1,852,2022
482,32.167,1,822,2022
483,32.603,2,825,2022
484,32.058,1,844,2022
485,41.019,1,1,2022
486,29.704,1,20,2022
487,31.201,1,854,2022
488,29.550,1,815,2022
489,30.603,1,832,2022
490,29.407,1,830,2022
491,29.863,1,840,2022
492,29.713,2,847,2022
493,30.528,1,846,2022
494,30.946,1,817,2022
495,29.775,2,830,2022
496,34.722,2,854,2022
497,33.211,3,847,2022
498,29.893,4,847,2022
499,28.146,1,4,2008
500,31.518,1,17,2008
501,41.286,1,14,2008
502,28.532,1,22,2008
503,27.216,1,3,2008
504,29.399,1,9,2008
505,123.359,1,13,2008
506,32.638,1,1,2008
507,49.568,1,8,2008
508,30.488,1,20,2008
509,30.519,1,10,2008
510,27.874,1,2,2008
511,34.363,1,5,2008
512,28.094,1,6,2008
513,26.999,1,18,2008
514,30.550,1,16,2008
515,25.681,1,7,2008
516,15.786,2,13,2008
517,28.782,2,9,2008
518,28.951,2,3,2008
519,31.375,1,21,2008
520,25.866,3,13,2008
521,28.346,1,15,2008
522,27.991,2,7,2008
523,26.591,3,9,2008
524,26.696,2,5,2008
525,26.839,2,18,2008
526,27.725,2,16,2008
527,27.090,3,3,2008
528,26.160,2,4,2008
529,25.945,2,1,2008
530,28.336,2,14,2008
531,26.820,2,6,2008
532,25.779,2,20,2008
533,25.125,2,2,2008
534,24.648,2,10,2008
535,24.974,2,8,2008
536,24.514,1,20,2009
537,25.453,1,3,2009
538,29.802,1,17,2009
539,23.552,1,21,2009
540,25.621,1,24,2009
541,25.897,1,10,2009
542,25.101,1,22,2009
543,24.714,1,1,2009
544,25.377,1,9,2009
545,28.592,1,16,2009
546,26.059,1,4,2009
547,24.386,1,5,2009
548,25.845,1,18,2009
549,26.046,1,6,2009
550,25.628,1,8,2009
551,24.518,1,67,2009
552,31.437,1,153,2009
553,23.114,1,15,2009
554,12.76,2,3,2009
555,25.327,3,3,2009
556,42.695,2,67,2009
557,24.481,2,20,2009
558,25.255,3,67,2009
559,22.43,2,9,2009
560,12.676,3,20,2009
561,31.074,2,17,2009
562,21.702,2,10,2009
563,22.429,2,1,2009
564,27.438,2,22,2009
565,23.625,2,5,2009
566,23.254,2,6,2009
567,22.082,2,21,2009
568,22.118,2,24,2009
569,29.017,2,153,2009
570,21.361,2,4,2009
571,22.408,2,18,2009
572,22.055,2,15,2009
573,22.061,2,8,2009
574,30.527,1,13,2010
575,45.279,1,2,2010
576,32.063,2,2,2010
577,35.767,1,17,2010
578,33.144,1,15,2010
579,33.496,1,153,2010
580,38.186,1,32,2010
581,33.839,1,810,2010
582,49.271,1,811,2010
583,34.137,2,15,2010
584,231.073,3,15,2010
585,30.403,1,1,2010
586,30.236,1,4,2010
587,31.118,1,20,2010
588,30.396,1,18,2010
589,30.380,1,3,2010
590,32.800,1,854,2010
591,31.365,1,10,2010
592,30.441,1,9,2010
593,30.293,1,22,2010
594,32.138,1,67,2010
595,33.320,1,5,2010
596,37.496,2,854,2010
597,32.496,2,810,2010
598,31.814,2,9,2010
599,32.989,2,67,2010
