driverId,fastest_lap_time_ms,top5,grid_position,avg_pit_stop_s,avg_lap_time_ms,driver_standing_before,constructor_standing_before,years_experience,is_rookie,raceId,year,code
SAI,97666.0,1,1,29.499,103184.16129032258,5,3,8,0,2023,2023,SAI
NOR,98045.99999999999,1,4,29.485,103197.25806451614,8,5,4,0,2023,2023,NOR
HAM,95866.99999999999,1,5,33.106,103204.62903225806,4,2,16,0,2023,2023,HAM
LEC,98275.0,1,3,32.888,103525.7258064516,6,3,5,0,2023,2023,LEC
VER,96575.0,1,11,29.698,103529.98387096774,1,1,8,0,2023,2023,VER
GAS,98277.0,0,12,31.802,103804.17741935483,10,6,6,0,2023,2023,GAS
PIA,98491.99999999999,0,17,29.369,103853.17741935483,12,5,0,1,2023,2023,PIA
PER,97108.0,0,13,28.977,104063.74193548386,2,1,12,0,2023,2023,PER
LAW,99027.99999999999,0,10,32.348,104247.35483870968,20,10,0,1,2023,2023,LAW
MAG,98107.0,0,6,32.2765,104347.32258064517,18,8,9,0,2023,2023,MAG
ALB,97342.0,0,14,29.9625,104368.30645161291,13,7,4,0,2023,2023,ALB
ZHO,99316.0,0,19,30.3345,104533.33870967742,16,9,1,0,2023,2023,ZHO
HUL,99923.0,0,9,35.497,104574.5,14,8,13,0,2023,2023,HUL
SAR,98531.0,0,18,47.2805,104585.59677419355,19,7,0,1,2023,2023,SAR
ALO,96456.0,0,7,41.689,104597.1129032258,3,4,22,0,2023,2023,ALO
RUS,96273.0,0,2,30.0075,103261.18032786885,7,2,4,0,2023,2023,RUS
BOT,98075.0,0,16,30.487,105515.96078431372,15,9,10,0,2023,2023,BOT
OCO,99930.0,0,8,29.755,104408.04761904762,11,6,7,0,2023,2023,OCO
TSU,,0,15,,,17,10,2,0,2023,2023,TSU
STR,,0,20,,,9,4,6,0,2023,2023,STR
NOR,94925.0,1,1,29.091,97622.1129032258,2,1,5,0,2024,2024,NOR
VER,95967.0,1,2,29.655,97959.93548387097,1,2,9,0,2024,2024,VER
PIA,95745.0,1,5,29.152,98296.67741935483,4,1,1,0,2024,2024,PIA
RUS,97047.0,1,4,28.739,98606.62903225806,7,4,5,0,2024,2024,RUS
LEC,95371.00000000001,1,9,29.042,98629.04838709677,3,3,6,0,2024,2024,LEC
HAM,97393.0,0,3,29.272,98997.08064516129,6,4,17,0,2024,2024,HAM
SAI,96561.0,0,10,29.385,99171.12903225806,5,3,9,0,2024,2024,SAI
ALO,97741.0,0,7,29.251,99236.7868852459,9,5,23,0,2024,2024,ALO
HUL,97470.0,0,6,29.808,99273.95081967213,11,7,14,0,2024,2024,HUL
PER,97477.0,0,13,28.99,99298.27868852459,8,2,13,0,2024,2024,PER
COL,97262.0,0,12,29.772,99325.4918032787,19,8,0,1,2024,2024,COL
TSU,96393.0,0,8,29.662,99366.60655737705,12,6,3,0,2024,2024,TSU
OCO,97964.0,0,15,29.601,99943.86885245901,18,9,8,0,2024,2024,OCO
STR,97851.0,0,17,29.816,100002.32786885246,10,5,7,0,2024,2024,STR
ZHO,97461.0,0,20,29.36,100160.5081967213,20,10,2,0,2024,2024,ZHO
BOT,97524.0,0,19,30.423,100170.4918032787,22,10,11,0,2024,2024,BOT
GAS,96926.99999999999,0,18,31.509,100190.65573770492,15,9,7,0,2024,2024,GAS
RIC,94485.99999999999,0,16,29.67833333333333,100694.54098360655,14,6,13,0,2024,2024,RIC
MAG,97425.0,0,14,30.499000000000002,101963.26315789473,17,7,10,0,2024,2024,MAG
ALB,96888.0,0,11,29.126,104046.86666666667,13,8,5,0,2024,2024,ALB
RUS,95676.0,1,1,23.966,97134.95161290323,4,2,6,0,2025,2025,RUS
VER,95649.0,1,2,24.008,97222.53225806452,3,4,10,0,2025,2025,VER
NOR,95555.0,1,5,23.314,97232.79032258065,2,1,6,0,2025,2025,NOR
PIA,95408.0,1,3,26.637,97266.33870967742,1,1,2,0,2025,2025,PIA
ANT,95303.0,1,4,23.806,97678.19354838709,7,2,1,0,2025,2025,ANT
LEC,95983.0,0,7,23.63,97876.82258064517,5,3,7,0,2025,2025,LEC
ALO,95862.0,0,10,30.749,98436.03225806452,14,7,24,0,2025,2025,ALO
HAM,93808.0,0,6,24.069000000000003,98429.32258064517,6,3,18,0,2025,2025,HAM
BEA,96201.0,0,9,23.979,98643.45161290323,19,9,1,0,2025,2025,BEA
SAI,94963.0,0,20,24.075,98903.62295081967,12,5,10,0,2025,2025,SAI
HAD,96938.0,0,8,23.827,99011.5081967213,9,6,0,1,2025,2025,HAD
TSU,96831.0,0,13,24.61,99043.2131147541,17,4,4,0,2025,2025,TSU
STR,95851.0,0,15,24.012,99128.80327868853,11,7,8,0,2025,2025,STR
ALB,95648.0,0,19,25.732,99142.40983606558,8,5,6,0,2025,2025,ALB
LAW,95640.99999999999,0,12,24.027,99172.32786885246,13,6,2,0,2025,2025,LAW
COL,97182.0,0,16,24.04,99430.44262295082,20,10,1,0,2025,2025,COL
BOR,97126.0,0,14,32.856,99493.77049180328,18,8,0,1,2025,2025,BOR
OCO,96646.0,0,17,25.078,99500.0,15,9,9,0,2025,2025,OCO
GAS,94573.00000000001,0,18,25.3855,99505.37704918033,16,10,8,0,2025,2025,GAS
HUL,95404.0,0,11,28.0435,99531.26229508196,10,8,15,0,2025,2025,HUL
